name,level,school,casting_time,range,components,duration,concentration,ritual,classes,description,source
Acid Splash,0,Conjuration,1 action,60 feet,V S,Instantaneous,No,No,"Sorcerer, Wizard",Hurl a bubble of acid at one creature (or two within 5ft of each other). DEX save or take 1d6 acid damage. +1d6 at 5/11/17.,Basic
Chill Touch,0,Necromancy,1 action,120 feet,V S,1 round,No,No,"Sorcerer, Warlock, Wizard","Spell attack vs target. On hit 1d8 necrotic, target can't regain HP until end of your next turn. Undead also has disadvantage on attacks vs you. +1d8 at 5/11/17.",Basic
Dancing Lights,0,Evocation,1 action,120 feet,V S M (phosphorus or wychwood),1 minute,Yes,No,"Bard, Sorcerer, Wizard",Create up to 4 torch-sized lights in range. Bonus action to move them up to 60ft.,Basic
Druidcraft,0,Transmutation,1 action,30 feet,V S,Instantaneous,No,No,Druid,"Predict weather (24h), make a flower bud bloom, sense magical effect, light/snuff a small flame.",Basic
Eldritch Blast,0,Evocation,1 action,120 feet,V S,Instantaneous,No,No,Warlock,Beam of crackling energy. Spell attack 1d10 force per beam. Multiple beams at 5/11/17 (2/3/4 beams).,Basic
Fire Bolt,0,Evocation,1 action,120 feet,V S,Instantaneous,No,No,"Sorcerer, Wizard",Spell attack 1d10 fire. Ignites flammable unattended objects. +1d10 at 5/11/17.,Basic
Guidance,0,Divination,1 action,Touch,V S,1 minute,Yes,No,"Cleric, Druid","Touch a willing creature. Once before spell ends, target rolls 1d4 and adds to one ability check.",Basic
Light,0,Evocation,1 action,Touch,V M (firefly or phosphorescent moss),1 hour,No,No,"Bard, Cleric, Sorcerer, Wizard",Touched object sheds bright 20ft and dim 20ft more. Object up to 10ft creature; held creature can DEX save.,Basic
Mage Hand,0,Conjuration,1 action,30 feet,V S,1 minute,No,No,"Bard, Sorcerer, Warlock, Wizard","Spectral hand at point in range. Manipulate objects, open unlocked door/container, stow/retrieve from open container, pour. Range up to 30 ft. Cannot attack/use magic items/carry >10 lb.",Basic
Mending,0,Transmutation,1 minute,Touch,V S M (two lodestones),Instantaneous,No,No,"Bard, Cleric, Druid, Sorcerer, Wizard",Repair a single break/tear in object touched (max 1 ft long).,Basic
Message,0,Transmutation,1 action,120 feet,V S M (copper wire),1 round,No,No,"Bard, Sorcerer, Wizard",Whisper a message to one creature in range. They can whisper back.,Basic
Minor Illusion,0,Illusion,1 action,30 feet,S M (fleece),1 minute,No,No,"Bard, Sorcerer, Warlock, Wizard",Create sound or 5ft cube image. INT (Investigation) check vs spell save DC to discern illusion.,Basic
Poison Spray,0,Conjuration,1 action,10 feet,V S,Instantaneous,No,No,"Druid, Sorcerer, Warlock, Wizard",Target CON save or 1d12 poison. +1d12 at 5/11/17.,Basic
Prestidigitation,0,Transmutation,1 action,10 feet,V S,Up to 1 hour,No,No,"Bard, Sorcerer, Warlock, Wizard","Minor magical trick: sensory effect, light/snuff small flame, clean/soil object, warm/chill 1lb of nonliving material, color/mark surface, create non-functional trinket/illusory image.",Basic
Produce Flame,0,Conjuration,1 action,Self,V S,10 minutes,No,No,Druid,Flickering flame in hand. Light 10ft bright/10ft dim. Action to throw: ranged spell attack 1d8 fire. +1d8 at 5/11/17.,Basic
Ray of Frost,0,Evocation,1 action,60 feet,V S,Instantaneous,No,No,"Sorcerer, Wizard",Spell attack 1d8 cold; target speed -10 ft until your next turn. +1d8 at 5/11/17.,Basic
Resistance,0,Abjuration,1 action,Touch,V S M (miniature cloak),1 minute,Yes,No,"Cleric, Druid",Touched creature can roll 1d4 and add to one save once before spell ends.,Basic
Sacred Flame,0,Evocation,1 action,60 feet,V S,Instantaneous,No,No,Cleric,Target DEX save or 1d8 radiant. No cover benefit. +1d8 at 5/11/17.,Basic
Shillelagh,0,Transmutation,1 bonus action,Touch,V S M (mistletoe/shamrock leaf and a club/quarterstaff),1 minute,No,No,Druid,Wood weapon (club/quarterstaff) becomes magic with 1d8 damage and uses spellcasting mod for attack/damage.,Basic
Shocking Grasp,0,Evocation,1 action,Touch,V S,Instantaneous,No,No,"Sorcerer, Wizard",Melee spell attack with advantage if target wearing metal. 1d8 lightning; target can't take reactions until end of next turn. +1d8 at 5/11/17.,Basic
Spare the Dying,0,Necromancy,1 action,Touch,V S,Instantaneous,No,No,Cleric,Touch a creature with 0 HP and stable. Becomes stable.,Basic
Thaumaturgy,0,Transmutation,1 action,30 feet,V,Up to 1 minute,No,No,Cleric,"Voice 3x volume, flicker flames, harmless tremor, instantaneous sound, door slam, alter eyes appearance. Up to 3 effects active.",Basic
True Strike,0,Divination,1 action,30 feet,S,Concentration up to 1 round,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Advantage on first attack roll vs target on next turn.,Basic
Vicious Mockery,0,Enchantment,1 action,60 feet,V,Instantaneous,No,No,Bard,Target WIS save or 1d4 psychic and disadvantage on next attack roll. +1d4 at 5/11/17.,Basic
Alarm,1,Abjuration,1 minute,30 feet,V S M (tiny silver bell + fine silver wire),8 hours,No,Yes,"Ranger, Wizard",Set alarm in 20ft cube. Audible (heard 60ft) or mental alarm.,Basic
Animal Friendship,1,Enchantment,1 action,30 feet,V S M (morsel of food),24 hours,No,No,"Bard, Druid, Ranger",Beast WIS save (immune if INT 4+). On fail charmed.,Basic
Bane,1,Enchantment,1 action,30 feet,V S M (drop of blood),Concentration up to 1 minute,Yes,No,"Bard, Cleric",Up to 3 creatures CHA save or subtract 1d4 from attacks/saves. Upcast +1 target per slot above 1st.,Basic
Bless,1,Enchantment,1 action,30 feet,V S M (sprinkling of holy water),Concentration up to 1 minute,Yes,No,"Cleric, Paladin",Up to 3 creatures add 1d4 to attacks and saves. Upcast +1 target per slot.,Basic
Burning Hands,1,Evocation,1 action,Self (15-foot cone),V S,Instantaneous,No,No,"Sorcerer, Wizard",DEX save half. 3d6 fire. Ignites unattended flammables. +1d6 per slot above 1st.,Basic
Charm Person,1,Enchantment,1 action,30 feet,V S,1 hour,No,No,"Bard, Druid, Sorcerer, Warlock, Wizard",Humanoid WIS save (advantage if attacked by you/companions). On fail charmed; treats you as friendly. Upcast +1 target per slot.,Basic
Color Spray,1,Illusion,1 action,Self (15-foot cone),V S M (red/yellow/blue powder),1 round,No,No,"Sorcerer, Wizard",Roll 6d10 total HP affected (lowest first). Each creature in cone with HP ≤ remaining counter is blinded until your next turn. Upcast +2d10 per slot.,Basic
Command,1,Enchantment,1 action,60 feet,V,1 round,No,No,"Cleric, Paladin",Target WIS save (immune if can't understand). On fail follow command (approach/drop/flee/grovel/halt) on its next turn. Upcast +1 target per slot.,Basic
Comprehend Languages,1,Divination,1 action,Self,V S M (pinch of soot and salt),1 hour,No,Yes,"Bard, Sorcerer, Warlock, Wizard",Understand any spoken language and read written languages you touch (1 page/min).,Basic
Create or Destroy Water,1,Transmutation,1 action,30 feet,V S M (drop of water/few grains of sand),Instantaneous,No,No,"Cleric, Druid",Create up to 10 gal water in container or 30ft cube of rain; or destroy same volume of water/fog. Upcast +10gal or +5ft cube per slot.,Basic
Cure Wounds,1,Evocation,1 action,Touch,V S,Instantaneous,No,No,"Bard, Cleric, Druid, Paladin, Ranger",Touch a creature; regain 1d8 + spellcasting mod HP. No effect on undead/constructs. +1d8 per slot above 1st.,Basic
Detect Evil and Good,1,Divination,1 action,Self,V S,Concentration up to 10 minutes,Yes,No,"Cleric, Paladin",Sense aberrations/celestials/elementals/fey/fiends/undead and consecrated/desecrated places within 30ft.,Basic
Detect Magic,1,Divination,1 action,Self,V S,Concentration up to 10 minutes,Yes,Yes,"Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard",Sense magic within 30ft. Action to focus to see faint aura and learn school.,Basic
Detect Poison and Disease,1,Divination,1 action,Self,V S M (yew leaf),Concentration up to 10 minutes,Yes,Yes,"Cleric, Druid, Paladin, Ranger",Sense poisons/poisonous creatures/disease within 30ft.,Basic
Disguise Self,1,Illusion,1 action,Self,V S,1 hour,No,No,"Bard, Sorcerer, Wizard",Change appearance (look/clothes/voice/+/-1ft height +/-). Inspection: action + INT (Investigation) vs save DC to discern.,Basic
Divine Favor,1,Evocation,1 bonus action,Self,V S,Concentration up to 1 minute,Yes,No,Paladin,Weapon attacks deal +1d4 radiant damage.,Basic
Entangle,1,Conjuration,1 action,90 feet,V S,Concentration up to 1 minute,Yes,No,Druid,20ft square of grasping plants. STR save or restrained. Difficult terrain. STR action to free.,Basic
Faerie Fire,1,Evocation,1 action,60 feet,V,Concentration up to 1 minute,Yes,No,"Bard, Druid",Each object/creature in 20ft cube DEX save or outlined; advantage on attacks vs them; can't benefit from invisibility.,Basic
False Life,1,Necromancy,1 action,Self,V S M (small amount of alcohol or distilled spirits),1 hour,No,No,"Sorcerer, Wizard",Gain 1d4+4 temp HP. Upcast +5 per slot above 1st.,Basic
Feather Fall,1,Transmutation,1 reaction (when you or creature within 60ft falls),60 feet,V M (small feather or piece of down),1 minute,No,No,"Bard, Sorcerer, Wizard",Up to 5 falling creatures: rate 60ft/round; no fall damage. Ends on landing or duration.,Basic
Find Familiar,1,Conjuration,1 hour,10 feet,V S M (10gp charcoal/incense/herbs - consumed),Instantaneous,No,Yes,Wizard,Summon a tiny spirit (familiar) in beast form (bat/cat/crab/frog/hawk/lizard/octopus/owl/poisonous snake/fish/rat/raven/sea horse/spider/weasel). Telepathic 100ft. Can deliver touch spells. Action to dismiss/resummon.,Basic
Floating Disk,1,Conjuration,1 action,30 feet,V S M (drop of mercury),1 hour,No,Yes,Wizard,3ft circular horizontal disk floating 3ft off ground; carry up to 500lb. Follows you within 20ft.,Basic
Fog Cloud,1,Conjuration,1 action,120 feet,V S,Concentration up to 1 hour,Yes,No,"Druid, Ranger, Sorcerer, Wizard",20ft radius sphere of fog; heavily obscured. Upcast +20ft radius per slot.,Basic
Goodberry,1,Transmutation,1 action,Touch,V S M (sprig of mistletoe),Instantaneous,No,No,"Druid, Ranger",Up to 10 magical berries. One eaten = 1 HP and counts as full meal. Lasts 24h.,Basic
Grease,1,Conjuration,1 action,60 feet,V S M (bit of pork rind or butter),1 minute,No,No,Wizard,10ft square difficult terrain. Creatures DEX save or fall prone (entering/in area on cast).,Basic
Guiding Bolt,1,Evocation,1 action,120 feet,V S,1 round,No,No,Cleric,Spell attack 4d6 radiant. Next attack vs target before end of next turn has advantage. +1d6 per slot above 1st.,Basic
Healing Word,1,Evocation,1 bonus action,60 feet,V,Instantaneous,No,No,"Bard, Cleric, Druid",Creature regains 1d4 + spellcasting mod HP. No undead/constructs. +1d4 per slot above 1st.,Basic
Hellish Rebuke,1,Evocation,1 reaction (when you take damage from creature within 60ft),60 feet,V S,Instantaneous,No,No,Warlock,Target DEX save half. 2d10 fire. Upcast +1d10 per slot above 1st.,Basic
Heroism,1,Enchantment,1 action,Touch,V S,Concentration up to 1 minute,Yes,No,"Bard, Paladin",Willing creature immune to frightened; gain temp HP = spellcasting mod at start of each turn.,Basic
Hideous Laughter,1,Enchantment,1 action,30 feet,V S M (tiny tarts and a feather waved in air),Concentration up to 1 minute,Yes,No,"Bard, Wizard",Creature WIS save (immune if INT ≤4) or fall prone laughing; incapacitated. Repeat save when damaged or each turn (with disadvantage if no LOS).,Basic
Hunter's Mark,1,Divination,1 bonus action,90 feet,V,Concentration up to 1 hour,Yes,No,Ranger,"Mark a creature; +1d6 weapon damage vs it; advantage on Perception/Survival to track. Bonus action to switch on kill. Upcast: 8h at 3rd-4th, 24h at 5th+.",Basic
Identify,1,Divination,1 minute,Touch,V S M (pearl worth 100gp),Instantaneous,No,Yes,"Bard, Wizard","Learn properties of magic item touched (uses, command word, charges) or any spells affecting object/creature.",Basic
Illusory Script,1,Illusion,1 minute,Touch,S M (lead-based ink worth 10gp - consumed),10 days,No,Yes,"Bard, Warlock, Wizard",Write secret message visible only to specified creatures.,Basic
Inflict Wounds,1,Necromancy,1 action,Touch,V S,Instantaneous,No,No,Cleric,Melee spell attack 3d10 necrotic. +1d10 per slot above 1st.,Basic
Jump,1,Transmutation,1 action,Touch,V S M (grasshopper hind leg),1 minute,No,No,"Druid, Ranger, Sorcerer, Wizard",Touched creature's jump distance tripled.,Basic
Longstrider,1,Transmutation,1 action,Touch,V S M (pinch of dirt),1 hour,No,No,"Bard, Druid, Ranger, Wizard",Touched creature speed +10. Upcast +1 target per slot.,Basic
Mage Armor,1,Abjuration,1 action,Touch,V S M (piece of cured leather),8 hours,No,No,"Sorcerer, Wizard",Willing creature without armor: AC 13 + DEX mod. Ends if armor donned or dismissed.,Basic
Magic Missile,1,Evocation,1 action,120 feet,V S,Instantaneous,No,No,"Sorcerer, Wizard","3 darts auto-hit, each 1d4+1 force. Distribute as desired. Upcast +1 dart per slot above 1st.",Basic
Protection from Evil and Good,1,Abjuration,1 action,Touch,V S M (holy water or powdered silver and iron - consumed),Concentration up to 10 minutes,Yes,No,"Cleric, Paladin, Warlock, Wizard",Target protected vs aberrations/celestials/elementals/fey/fiends/undead: they have disadvantage on attacks vs target; target advantage on saves vs them; can't be charmed/frightened/possessed.,Basic
Purify Food and Drink,1,Transmutation,1 action,10 feet,V S,Instantaneous,No,Yes,"Cleric, Druid, Paladin",All food/drink in 5ft radius purified.,Basic
Sanctuary,1,Abjuration,1 bonus action,30 feet,V S M (small silver mirror),1 minute,No,No,"Cleric, Paladin",Creature attacking warded: WIS save or choose new target. Save DC same as spell. Ends if warded attacks/casts harmful spell.,Basic
Shield,1,Abjuration,1 reaction (when hit by attack or targeted by magic missile),Self,V S,1 round,No,No,"Sorcerer, Wizard",+5 AC until start of next turn (incl. triggering attack). No damage from magic missile.,Basic
Shield of Faith,1,Abjuration,1 bonus action,60 feet,V S M (small parchment with holy text),Concentration up to 10 minutes,Yes,No,"Cleric, Paladin",Target +2 AC.,Basic
Silent Image,1,Illusion,1 action,60 feet,V S M (bit of fleece),Concentration up to 10 minutes,Yes,No,"Bard, Sorcerer, Wizard",15ft cube illusion. No sound/smell/temp. INT (Investigation) action vs DC.,Basic
Sleep,1,Enchantment,1 action,90 feet,V S M (pinch of fine sand/rose petals/cricket),1 minute,No,No,"Bard, Sorcerer, Wizard",5d8 HP total. Affect creatures from lowest to highest HP within 20ft sphere; sleeping unconscious. Undead/charm-immune unaffected. Upcast +2d8 per slot above 1st.,Basic
Speak with Animals,1,Divination,1 action,Self,V S,10 minutes,No,Yes,"Bard, Druid, Ranger",Communicate with beasts (limited).,Basic
Thunderwave,1,Evocation,1 action,Self (15-foot cube),V S,Instantaneous,No,No,"Bard, Druid, Sorcerer, Wizard",Each creature CON save half. 2d8 thunder. Pushed 10ft on fail. Audible 300ft. Upcast +1d8 per slot.,Basic
Unseen Servant,1,Conjuration,1 action,60 feet,V S M (piece of string and bit of wood),1 hour,No,Yes,"Bard, Warlock, Wizard",Invisible mindless servant. STR 2; AC 10; HP 1; speed 15. Bonus action to direct.,Basic
Witch Bolt,1,Evocation,1 action,30 feet,V S M (twig from tree struck by lightning),Concentration up to 1 minute,Yes,No,"Sorcerer, Warlock, Wizard",Spell attack. On hit 1d12 lightning + sustained beam: action each turn for 1d12 lightning. Upcast +1d12 initial per slot above 1st.,Basic
Acid Arrow,2,Evocation,1 action,90 feet,V S M (powdered rhubarb leaf and adder's stomach),Instantaneous,No,No,Wizard,Spell attack 4d4 acid + 2d4 acid at end of next turn. Half on miss (no end-of-next damage). Upcast +1d4 immediate and +1d4 delayed per slot.,Basic
Aid,2,Abjuration,1 action,30 feet,V S M (tiny strip of white cloth),8 hours,No,No,"Cleric, Paladin",Up to 3 creatures HP max +5 and current HP +5. Upcast +5 HP per slot above 2nd.,Basic
Alter Self,2,Transmutation,1 action,Self,V S,Concentration up to 1 hour,Yes,No,"Sorcerer, Wizard",Aquatic Adaptation OR Change Appearance OR Natural Weapons (1d6 + STR/DEX magic).,Basic
Animal Messenger,2,Enchantment,1 action,30 feet,V S M (morsel of food),24 hours,No,Yes,"Bard, Druid, Ranger",Send tiny beast with 25-word message to a destination.,Basic
Arcane Lock,2,Abjuration,1 action,Touch,V S M (gold dust 25gp - consumed),Until dispelled,No,No,Wizard,Lock object/door. DC +10 to break/pick. Set password to bypass.,Basic
Augury,2,Divination,1 minute,Self,V S M (specially marked sticks/bones/cards 25gp),Instantaneous,No,Yes,Cleric,Receive omen for action within next 30 min: weal/woe/weal and woe/nothing.,Basic
Barkskin,2,Transmutation,1 action,Touch,V S M (handful of oak bark),Concentration up to 1 hour,Yes,No,"Druid, Ranger",Willing creature AC ≥16 (regardless of armor).,Basic
Blindness/Deafness,2,Necromancy,1 action,30 feet,V,1 minute,No,No,"Bard, Cleric, Sorcerer, Wizard",Creature CON save or blinded or deafened (your choice). Save at end of each turn. Upcast +1 target per slot.,Basic
Blur,2,Illusion,1 action,Self,V,Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard",Attacks vs you have disadvantage (unless attacker uses non-sight or has blindsight/truesight).,Basic
Branding Smite,2,Evocation,1 bonus action,Self,V,Concentration up to 1 minute,Yes,No,Paladin,Next weapon hit this turn deals +2d6 radiant; if invisible target becomes visible; gives off dim light 5ft. Upcast +1d6 per slot.,Basic
Calm Emotions,2,Enchantment,1 action,60 feet,V S,Concentration up to 1 minute,Yes,No,"Bard, Cleric",Each humanoid in 20ft radius CHA save. On fail: end charmed/frightened OR suppress hostility (won't attack you).,Basic
Continual Flame,2,Evocation,1 action,Touch,V S M (ruby dust 50gp - consumed),Until dispelled,No,No,"Cleric, Wizard",Permanent torch-light flame on touched object. No heat/fuel.,Basic
Darkness,2,Evocation,1 action,60 feet,V M (bat fur and a drop of pitch or coal),Concentration up to 10 minutes,Yes,No,"Sorcerer, Warlock, Wizard",15ft sphere magical darkness. Darkvision can't see through. Light spell ≤2nd is suppressed.,Basic
Darkvision,2,Transmutation,1 action,Touch,V S M (carrot/agate),8 hours,No,No,"Druid, Ranger, Sorcerer, Wizard",Willing creature gains darkvision 60ft.,Basic
Detect Thoughts,2,Divination,1 action,Self,V S M (copper piece),Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Wizard",Probe surface thoughts of creature within 30ft (WIS save to resist deeper probe).,Basic
Enhance Ability,2,Transmutation,1 action,Touch,V S M (fur or feather of a beast),Concentration up to 1 hour,Yes,No,"Bard, Cleric, Druid, Sorcerer",Bear's Endurance/Bull's Strength/Cat's Grace/Eagle's Splendor/Fox's Cunning/Owl's Wisdom: advantage on chosen ability checks; some +temp HP or +carrying. Upcast +1 target per slot.,Basic
Enlarge/Reduce,2,Transmutation,1 action,30 feet,V S M (powdered iron),Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard","Enlarge: size +1 category, advantage on STR checks/saves, +1d4 weapon damage. Reduce: size -1 category, disadvantage on STR checks/saves, -1d4 weapon damage. CON save to resist if unwilling.",Basic
Enthrall,2,Enchantment,1 action,60 feet,V S,1 minute,No,No,"Bard, Warlock",WIS save or disadvantage on Perception checks vs anyone except you for duration.,Basic
Find Steed,2,Conjuration,10 minutes,30 feet,V S,Instantaneous,No,No,Paladin,Summon spirit-bound mount (warhorse/pony/camel/elk/mastiff). Intelligent; bond with rider; communication.,Basic
Find Traps,2,Divination,1 action,120 feet,V S,Instantaneous,No,No,"Cleric, Druid, Ranger",Sense if traps present in line of sight; doesn't reveal location/type.,Basic
Flame Blade,2,Evocation,1 bonus action,Self,V S M (sumac leaf),Concentration up to 10 minutes,Yes,No,Druid,Fiery blade in hand. Action to attack 3d6 fire (melee spell attack). Sheds bright 10ft/dim 10ft. Upcast +1d6 per 2 slots.,Basic
Flaming Sphere,2,Conjuration,1 action,60 feet,V S M (pinch of sulfur),Concentration up to 1 minute,Yes,No,"Druid, Wizard",5ft sphere of fire. DEX save half 2d6 fire on creatures within 5ft (auto on cast). Bonus action to move 30ft. Ram into creature: DEX save. Upcast +1d6 per slot above 2nd.,Basic
Gentle Repose,2,Necromancy,1 action,Touch,V S M (pinch of salt and copper pieces on eyes),10 days,No,Yes,"Cleric, Wizard",Corpse no decay; doesn't become undead.,Basic
Gust of Wind,2,Evocation,1 action,Self (60-foot line),V S M (legume seed),Concentration up to 1 minute,Yes,No,"Druid, Sorcerer, Wizard",60ft line × 10ft wide of strong wind. STR save or pushed 15ft. Halves movement of creatures going against. Disperses gas/fog. Bonus action redirect.,Basic
Heat Metal,2,Transmutation,1 action,60 feet,V S M (piece of iron and a flame),Concentration up to 1 minute,Yes,No,"Bard, Druid",Metal object glows red. Holding/wearing creature 2d8 fire on cast. Bonus action to repeat. CON save or drop and have disadvantage on attacks/checks. Upcast +1d8 per slot.,Basic
Hold Person,2,Enchantment,1 action,60 feet,V S M (small straight piece of iron),Concentration up to 1 minute,Yes,No,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard",Humanoid WIS save or paralyzed. Repeat save end of each turn. Upcast +1 target per slot above 2nd.,Basic
Invisibility,2,Illusion,1 action,Touch,V S M (eyelash in gum arabic),Concentration up to 1 hour,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Touched creature invisible. Ends if attacks/casts spell. Upcast +1 target per slot above 2nd.,Basic
Knock,2,Transmutation,1 action,60 feet,V,Instantaneous,No,No,"Bard, Sorcerer, Wizard",Open one locked/stuck/barred object. Suppresses arcane lock for 10 min. Loud knock 300ft.,Basic
Lesser Restoration,2,Abjuration,1 action,Touch,V S,Instantaneous,No,No,"Bard, Cleric, Druid, Paladin, Ranger",End one disease or one condition: blinded/deafened/paralyzed/poisoned.,Basic
Levitate,2,Transmutation,1 action,60 feet,V S M (small leather loop or piece of golden wire bent into a cup),Concentration up to 10 minutes,Yes,No,"Sorcerer, Wizard",One creature/object up to 500lb. Rises 20ft. CON save resist if unwilling. Move up to 20ft up/down per turn.,Basic
Locate Animals or Plants,2,Divination,1 action,Self,V S M (bit of fur from a bloodhound),Instantaneous,No,Yes,"Bard, Druid, Ranger",Sense location/direction of nearest specified beast or plant within 5 miles.,Basic
Locate Object,2,Divination,1 action,Self,V S M (forked twig),Concentration up to 10 minutes,Yes,No,"Bard, Cleric, Druid, Paladin, Ranger, Wizard",Sense direction of object you've seen up to 1000ft (or nearest of a kind).,Basic
Magic Mouth,2,Illusion,1 minute,30 feet,V S M (small bit of honeycomb and jade dust 10gp - consumed),Until dispelled,No,Yes,"Bard, Wizard",Implant message in object that delivers when triggered.,Basic
Magic Weapon,2,Transmutation,1 bonus action,Touch,V S,Concentration up to 1 hour,Yes,No,"Paladin, Wizard","Nonmagical weapon becomes magic with +1 to attack/damage. Upcast +2 at 4th, +3 at 6th.",Basic
Mirror Image,2,Illusion,1 action,Self,V S,1 minute,No,No,"Sorcerer, Warlock, Wizard",3 duplicates around you. Attack roll might hit a duplicate (d20 with thresholds: 6+/8+/11+ for 3/2/1 duplicates). Hit destroys duplicate.,Basic
Misty Step,2,Conjuration,1 bonus action,Self,V,Instantaneous,No,No,"Sorcerer, Warlock, Wizard",Teleport up to 30ft to unoccupied space you can see.,Basic
