name,level,school,casting_time,range,components,duration,concentration,ritual,classes,description,source
Creation,5,Illusion,1 minute,30 feet,V S M (tiny piece of matter of the same type as item to create),Special,No,No,"Sorcerer, Wizard",Create 5ft cube of nonliving matter. Lasts varies by type (vegetable matter 1 day; stone 1 hour; gems 10 minutes).,Basic
Destructive Wave,5,Evocation,1 action,Self (30-ft radius),V,Instantaneous,No,No,Paladin,CON save half. 5d6 thunder + 5d6 chosen radiant or necrotic. On fail: prone.,Basic
Dispel Evil and Good,5,Abjuration,1 action,Self,V S M (holy water or powdered silver and iron),Concentration up to 1 minute,Yes,No,"Cleric, Paladin",Aberrations/celestials/elementals/fey/fiends/undead disadvantage on attacks vs you. End: dismiss/break enchantment/break possession.,Basic
Dominate Person,5,Enchantment,1 action,60 feet,V S,Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Wizard",Humanoid WIS save or charmed and command (advantage when damaged). Upcast: 6th=10min/7th=1h/8th+=8h.,Basic
Dream,5,Illusion,1 minute,Special,"V S M (handful of sand, dab of ink, writing quill plucked from sleeping bird)",8 hours,No,No,"Bard, Warlock, Wizard",Touch sleeping creature on same plane. Send/receive message; deliver nightmare (3d6 psychic + no rest).,Basic
Flame Strike,5,Evocation,1 action,60 feet,V S M (pinch of sulfur),Instantaneous,No,No,Cleric,10ft radius × 40ft cylinder. DEX save half. 4d6 fire + 4d6 radiant. Upcast +1d6 fire OR radiant per slot.,Basic
Geas,5,Enchantment,1 minute,60 feet,V,30 days,No,No,"Bard, Cleric, Druid, Paladin, Wizard",WIS save or charmed; if disobeys command 5d10 psychic 1/day. Upcast: duration scales 6th=1y/7-8th=trigger or 1y/9th=until ended.,Basic
Greater Restoration,5,Abjuration,1 action,Touch,V S M (diamond dust 100gp - consumed),Instantaneous,No,No,"Bard, Cleric, Druid",End one: charmed/petrified/curse/HP max reduction/exhaustion level.,Basic
Hallow,5,Evocation,24 hours,Touch,V S M (herbs/oils/incense 1000gp - consumed),Until dispelled,No,No,Cleric,60ft radius. Excludes specified creature type. Adds chosen secondary effect (courage/darkness/daylight/energy protection/everlasting rest/extradimensional interference/fear/silence/tongues).,Basic
Hold Monster,5,Enchantment,1 action,90 feet,V S M (small straight piece of iron),Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Non-undead WIS save or paralyzed. Save end of turn. Upcast +1 target per slot.,Basic
Insect Plague,5,Conjuration,1 action,300 feet,"V S M (a few grains of sugar, kernels of grain, smear of fat)",Concentration up to 10 minutes,Yes,No,"Cleric, Druid, Sorcerer",20ft radius locust swarm. Difficult terrain + lightly obscured. CON save half 4d10 piercing on entry/start of turn. Upcast +1d10 per slot.,Basic
Legend Lore,5,Divination,10 minutes,Self,V S M (incense 250gp + 4 ivory strips 50gp each - consumed),Instantaneous,No,No,"Bard, Cleric, Wizard",Brief lore about person/place/object known by name.,Basic
Mass Cure Wounds,5,Evocation,1 action,60 feet,V S,Instantaneous,No,No,"Bard, Cleric, Druid",Up to 6 creatures in 30ft radius regain 3d8 + spellcasting mod HP. Upcast +1d8 per slot.,Basic
Mislead,5,Illusion,1 action,Self,S,Concentration up to 1 hour,Yes,No,"Bard, Wizard",Become invisible + create illusory duplicate. Use action to switch senses with duplicate.,Basic
Modify Memory,5,Enchantment,1 action,30 feet,V S,Concentration up to 1 minute,Yes,No,"Bard, Wizard",WIS save or charmed and incapacitated. Modify memory of past 24h event.,Basic
Passwall,5,Transmutation,1 action,30 feet,V S M (a pinch of sesame seeds),1 hour,No,No,Wizard,5ft × 8ft × 20ft passage through wood/plaster/stone.,Basic
Planar Binding,5,Abjuration,1 hour,60 feet,V S M (jewel worth at least 1000 gp - consumed),24 hours,No,No,"Bard, Cleric, Druid, Wizard",Bind celestial/elemental/fey/fiend to service. CHA save. Upcast: duration scales (10 days/30 days/180 days/1 year).,Basic
Raise Dead,5,Necromancy,1 hour,Touch,V S M (diamond worth 500gp - consumed),Instantaneous,No,No,"Bard, Cleric, Paladin",Restore creature dead ≤10 days. Returns with 1 HP. Penalties for 4 long rests (-4 to attacks/saves/checks).,Basic
Reincarnate,5,Transmutation,1 hour,Touch,V S M (rare oils and unguents 1000gp - consumed),Instantaneous,No,No,Druid,Creature dead ≤10 days returns in new randomly determined humanoid body.,Basic
Scrying,5,Divination,10 minutes,Self,V S M (focus 1000gp pool/mirror/crystal ball),Concentration up to 10 minutes,Yes,No,"Bard, Cleric, Druid, Warlock, Wizard",WIS save by target or you observe via invisible sensor; bonuses/penalties depend on familiarity.,Basic
Seeming,5,Illusion,1 action,30 feet,V S,8 hours,No,No,"Bard, Sorcerer, Wizard",Change appearance of any number of creatures (size +/-1ft). CHA save resists. Reveals to physical inspection.,Basic
Telekinesis,5,Transmutation,1 action,60 feet,V S,Concentration up to 10 minutes,Yes,No,"Sorcerer, Wizard",Action: move target. Creature: STR save vs spell DC. Move 30ft any direction. Object up to 1000lb manipulate.,Basic
Teleportation Circle,5,Conjuration,1 minute,10 feet,V M (rare chalks and inks 50gp - consumed),1 round,No,No,"Bard, Sorcerer, Wizard",10ft circle teleports creatures in to permanent destination circle whose sigil sequence is known.,Basic
Tree Stride,5,Conjuration,1 action,Self,V S,Concentration up to 1 minute,Yes,No,"Druid, Ranger","Move 500ft step into one tree, exit out another of same kind.",Basic
Wall of Force,5,Evocation,1 action,120 feet,V S M (pinch of powder made by crushing a clear gemstone),Concentration up to 10 minutes,Yes,No,Wizard,10× 10ft panels (10 panels × 1in thick). Force barrier - blocks everything except teleport/Disintegrate.,Basic
Wall of Stone,5,Evocation,1 action,120 feet,V S M (small block of granite),Concentration up to 10 minutes,Yes,No,"Druid, Sorcerer, Wizard",10× 10ft panels (6 in thick). After concentration ends if anchored becomes permanent. Upcast +1 panel per slot.,Basic
Blade Barrier,6,Evocation,1 action,90 feet,V S,Concentration up to 10 minutes,Yes,No,Cleric,100ft long × 20ft high × 5ft thick (or 60ft radius ring × 20ft × 5ft). Difficult terrain. DEX save half 6d10 slashing on entry/start of turn.,Basic
Chain Lightning,6,Evocation,1 action,150 feet,"V S M (bit of fur, piece of amber/glass/crystal rod, three silver pins)",Instantaneous,No,No,"Sorcerer, Wizard",Primary target + up to 3 secondaries within 30ft. DEX save half. 10d8 lightning each. Upcast +1 target per slot above 6th.,Basic
Circle of Death,6,Necromancy,1 action,150 feet,V S M (powder of crushed black pearl 500gp - consumed),Instantaneous,No,No,"Sorcerer, Warlock, Wizard",60ft radius. CON save half. 8d6 necrotic. Upcast +2d6 per slot.,Basic
Conjure Fey,6,Conjuration,1 minute,90 feet,V S,Concentration up to 1 hour,Yes,No,"Druid, Warlock",Summon fey CR ≤6.,Basic
Contingency,6,Evocation,10 minutes,Self,V S M (statuette of yourself carved from ivory and decorated with gems 1500gp),10 days,No,No,Wizard,Stored spell ≤5th targets you when trigger occurs.,Basic
Create Undead,6,Necromancy,1 minute,10 feet,V S M (one clay pot filled with grave dirt + one clay pot filled with brackish water + 150gp black onyx stone for each corpse),Instantaneous,No,No,"Cleric, Warlock, Wizard","Create up to 3 ghouls (or higher undead at higher slots). Recast within 24h to maintain. Upcast: 7th=2 ghasts/wights, 8th=4, 9th=6 ghasts/wights/3 mummies.",Basic
Disintegrate,6,Transmutation,1 action,60 feet,V S M (lodestone and pinch of dust),Instantaneous,No,No,"Sorcerer, Wizard",DEX save. On fail 10d6+40 force; if reduces to 0 HP creature is disintegrated. Force damage. Upcast +3d6 per slot.,Basic
Eyebite,6,Necromancy,1 action,Self,V S,Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Action each turn: target you can see. WIS save or one of: asleep (6d6 max HP)/panicked (frightened+flee)/sickened (poisoned).,Basic
Find the Path,6,Divination,1 minute,Self,V S M (set of divinatory tools - bones/ivory sticks/cards/teeth/etc. 100gp),Concentration up to 1 day,Yes,No,"Bard, Cleric, Druid",Know shortest path to specified destination on same plane.,Basic
Flesh to Stone,6,Transmutation,1 action,60 feet,"V S M (pinch of lime, water, and earth)",Concentration up to 1 minute,Yes,No,"Warlock, Wizard",CON save 3 times. 1 fail = restrained; 3 fails = petrified for duration; 3 success = ends.,Basic
Forbiddance,6,Abjuration,10 minutes,Touch,V S M (rare incense and powdered ruby 1000gp - consumed),1 day,No,Yes,Cleric,40000 sq ft area. Excludes: travel via planar magic; chosen creature type takes 5d10 radiant or necrotic on entry.,Basic
Globe of Invulnerability,6,Abjuration,1 action,Self (10-ft radius),V S M (glass or crystal bead that shatters when spell ends),Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard",10ft radius. Spells of ≤5th level cast outside have no effect inside. Upcast: ≤slot-1 level.,Basic
Guards and Wards,6,Abjuration,10 minutes,Touch,"V S M (burning incense, small piece of rare wood, crushed gems 10gp, powdered diamond, ruby and emerald 1000gp - consumed)",24 hours,No,No,"Bard, Wizard",Ward 2500 sq ft area: fog/door enchantments/stairs/mist/special trap.,Basic
Harm,6,Necromancy,1 action,60 feet,V S,Instantaneous,No,No,Cleric,CON save half. 14d6 necrotic; HP max reduced (until long rest) by amount damaged.,Basic
Heal,6,Evocation,1 action,60 feet,V S,Instantaneous,No,No,"Cleric, Druid",Restore 70 HP; end blindness/deafness/diseases. Upcast +10 HP per slot.,Basic
Heroes' Feast,6,Conjuration,10 minutes,30 feet,V S M (gem-encrusted bowl 1000gp - consumed),Instantaneous,No,No,"Cleric, Druid",Up to 12 creatures consume feast: cured of diseases/poisons; immune to poison/frightened; advantage on WIS saves; +2d10 max HP and current HP. 24h.,Basic
Instant Summons,6,Conjuration,1 minute,Touch,V S M (sapphire 1000gp),Until dispelled,No,Yes,Wizard,Mark object. Action to summon to hand from anywhere on same plane.,Basic
Irresistible Dance,6,Enchantment,1 action,30 feet,V,Concentration up to 1 minute,Yes,No,"Bard, Wizard",Target dances. -10ft speed. Disadvantage on DEX saves and attacks. WIS save end of turn.,Basic
Magic Jar,6,Necromancy,1 minute,Self,"V S M (a gem, crystal, reliquary, or some other ornamental container worth 500gp+)",Until dispelled,No,No,Wizard,Soul into jar. CHA save when targeting body to possess. Body soul into jar; you control body.,Basic
Mass Suggestion,6,Enchantment,1 action,60 feet,V M (a snake's tongue and either a bit of honeycomb or a drop of sweet oil),24 hours,No,No,"Bard, Sorcerer, Warlock, Wizard",Up to 12 creatures WIS save or follow ≤25 word suggestion. Upcast: 7th=10 days/8th=30/9th=1 year.,Basic
Move Earth,6,Transmutation,1 action,120 feet,V S M (an iron blade and a small bag of fine sand),Concentration up to 2 hours,Yes,No,"Druid, Sorcerer, Wizard",Reshape dirt/sand/clay terrain. 40ft cube. 10 minutes per cube changed.,Basic
Planar Ally,6,Conjuration,10 minutes,60 feet,V S,Instantaneous,No,No,Cleric,Beseech otherworldly entity for one creature's aid (price negotiable; deity-dependent).,Basic
Programmed Illusion,6,Illusion,1 action,120 feet,V S M (a bit of fleece + jade dust 25gp),Until dispelled,No,No,"Bard, Wizard",30ft cube illusion that triggers on condition. Up to 5 minutes of action.,Basic
Sunbeam,6,Evocation,1 action,Self (60-ft line),V S M (a magnifying glass),Concentration up to 1 minute,Yes,No,"Druid, Sorcerer, Wizard",60ft line. CON save half. 6d8 radiant + blinded. Action each turn to fire again.,Basic
True Seeing,6,Divination,1 action,Touch,"V S M (an ointment for the eyes that costs 25 gp; is made from mushroom powder, saffron, and fat - consumed)",1 hour,No,No,"Bard, Cleric, Sorcerer, Warlock, Wizard",Truesight 120ft.,Basic
Wall of Ice,6,Evocation,1 action,120 feet,V S M (a small piece of quartz),Concentration up to 10 minutes,Yes,No,Wizard,10×10 ft panels (10 total) or 10ft radius hemisphere/dome. AC 12; 30 HP per panel. DEX save 10d6 cold on creation if creature in space. Broken: 5d6 cold to creatures within 5ft. Upcast: damage +2d6.,Basic
Wall of Thorns,6,Conjuration,1 action,120 feet,V S M (a handful of thorns),Concentration up to 10 minutes,Yes,No,Druid,60ft long × 10ft high × 5ft thick. DEX save half 7d8 piercing on creation. Difficult terrain + 7d8 slashing on entry/start of turn. Upcast +1d8 each per slot.,Basic
Word of Recall,6,Conjuration,1 action,5 feet,V,Instantaneous,No,No,Cleric,Teleport you and up to 5 willing creatures within 5ft to designated sanctuary.,Basic
Conjure Celestial,7,Conjuration,1 minute,90 feet,V S,Concentration up to 1 hour,Yes,No,Cleric,Summon celestial CR ≤4 (CR 5 at 9th slot).,Basic
Delayed Blast Fireball,7,Evocation,1 action,150 feet,V S M (tiny ball of bat guano and sulfur),Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard",Glowing bead. Each turn +1d6 damage. End: 20ft radius. DEX save half. 12d6 fire (+ accumulated). Upcast: starts at +1d6 per slot.,Basic
Divine Word,7,Evocation,1 bonus action,30 feet,V,Instantaneous,No,No,Cleric,Up to any creature CHA save (HP 20 or less = die). Else: 30 or less stunned 1h; 40 or less deafened 1min; 50 or less blinded 1min.,Basic
Etherealness,7,Transmutation,1 action,Self,V S,Up to 8 hours,No,No,"Bard, Cleric, Sorcerer, Warlock, Wizard",Step into Border Ethereal. Move freely; can't be touched by Material plane. Upcast +1 target per slot above 7th.,Basic
Finger of Death,7,Necromancy,1 action,60 feet,V S,Instantaneous,No,No,"Sorcerer, Warlock, Wizard",CON save half. 7d8+30 necrotic. Killed humanoid rises as zombie under your control on next turn.,Basic
Fire Storm,7,Evocation,1 action,150 feet,V S,Instantaneous,No,No,"Cleric, Druid, Sorcerer",10× 10ft cubes (10 total). DEX save half 7d10 fire.,Basic
Forcecage,7,Evocation,1 action,100 feet,V S M (ruby dust 1500 gp - consumed),1 hour,No,No,"Bard, Warlock, Wizard",20ft cube cage or 10ft cube box. Solid (or barred) force. Teleport CHA save fail.,Basic
Mirage Arcane,7,Illusion,10 minutes,Sight,V S,10 days,No,No,"Bard, Druid, Wizard",1 mile sq terrain reshaped. Solid; tactile; movement matches new terrain.,Basic
Plane Shift,7,Conjuration,1 action,Touch,V S M (forked metal rod 250gp attuned to destination),Instantaneous,No,No,"Cleric, Druid, Sorcerer, Warlock, Wizard",Up to 8 creatures (CHA save willing/unwilling) to other plane. Or banish single target.,Basic
Prismatic Spray,7,Evocation,1 action,Self (60-ft cone),V S,Instantaneous,No,No,"Sorcerer, Wizard",Cone d8 colors per creature: red(10d6 fire)/orange(10d6 acid)/yellow(10d6 lightning)/green(10d6 poison)/blue(10d6 cold)/indigo(restrained then petrified)/violet(blinded then planar)/double effect.,Basic
Project Image,7,Illusion,1 action,500 miles,V S M (a small replica of you made from materials worth 5 gp),Concentration up to 1 day,Yes,No,"Bard, Wizard",Send illusory duplicate to known location. Can see/hear through it; project speech.,Basic
Regenerate,7,Transmutation,1 minute,Touch,V S M (a prayer wheel and holy water),1 hour,No,No,"Bard, Cleric, Druid",Restore 4d8+15 HP + regrow body parts. 1 HP/min for duration.,Basic
Resurrection,7,Necromancy,1 hour,Touch,V S M (diamond 1000gp - consumed),Instantaneous,No,No,"Bard, Cleric",Restore creature dead ≤100 years. Full HP. -4 attacks/saves/checks for 4 long rests.,Basic
Reverse Gravity,7,Transmutation,1 action,100 feet,V S M (a lodestone and iron filings),Concentration up to 1 minute,Yes,No,"Druid, Sorcerer, Wizard",50ft radius × 100ft cylinder. Falling reverses up. DEX save grab fixed object.,Basic
Sequester,7,Transmutation,1 action,Touch,"V S M (a powder composed of diamond, emerald, ruby, and sapphire dust worth at least 5,000 gp - consumed)",Until dispelled,No,No,Wizard,Hide creature/object: invisible + suspended animation if creature.,Basic
Simulacrum,7,Illusion,12 hours,Touch,V S M (snow or ice in quantities sufficient + powdered ruby 1500gp + hair/nail clipping/bit of body part - consumed),Until dispelled,No,No,Wizard,Illusory duplicate of beast/humanoid (max HP halved). No magic. 8h work to repair.,Basic
Symbol,7,Abjuration,1 minute,Touch,"V S M (mercury, phosphorus, and powdered diamond and opal with a total value of at least 1000 gp - consumed)",Until dispelled or triggered,No,No,"Bard, Cleric, Wizard",Glyph triggers chosen mode: death/discord/fear/hopelessness/insanity/pain/sleep/stunning. 60ft radius effect.,Basic
Teleport,7,Conjuration,1 action,10 feet,V,Instantaneous,No,No,"Bard, Sorcerer, Wizard",Up to 8 willing creatures. Familiarity rolls (permanent circle/associated object/very familiar/seen casually/viewed once/false destination).,Basic
Animal Shapes,8,Transmutation,1 action,30 feet,V S,Concentration up to 24 hours,Yes,No,Druid,Transform any number of willing creatures into beasts CR ≤4.,Basic
Antimagic Field,8,Abjuration,1 action,Self (10-ft radius),V S M (a pinch of powdered iron or iron filings),Concentration up to 1 hour,Yes,No,"Cleric, Wizard",Sphere where magic doesn't function: spells suppressed; magic items suppressed; Antimagic Field cancels other Antimagic Field on overlap.,Basic
Clone,8,Necromancy,1 hour,Touch,V S M (diamond 1000gp - consumed + at least 1 cubic inch of flesh from body to be cloned + sealable vessel large enough to hold a Medium creature),Instantaneous,No,No,Wizard,Grow inert clone of creature touched. Soul transfers if original dies.,Basic
Control Weather,8,Transmutation,10 minutes,Self (5-mile radius),V S M (burning incense and bits of earth and wood mixed in water),Concentration up to 8 hours,Yes,No,"Cleric, Druid, Wizard",Change weather (1d4×10 minutes per stage). Precipitation/Temperature/Wind: shift one step in either direction.,Basic
Demiplane,8,Conjuration,1 action,60 feet,S,1 hour,No,No,"Sorcerer, Warlock, Wizard",Door opens to demiplane (30ft cube). Reuse same demiplane.,Basic
Dominate Monster,8,Enchantment,1 action,60 feet,V S,Concentration up to 1 hour,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Creature WIS save or charmed. Telepathic command. Save end of each turn.,Basic
Earthquake,8,Evocation,1 action,500 feet,"V S M (a pinch of dirt, piece of rock, lump of clay)",Concentration up to 1 minute,Yes,No,"Cleric, Druid, Sorcerer",100ft radius. Concentration save (DC 10) for casters. Movement save or fall prone. Fissures (1d6 fissures) = DEX save vs fall to 1d6×10 ft. Structures take 50 bludgeoning per turn.,Basic
Feeblemind,8,Enchantment,1 action,150 feet,"V S M (a handful of clay, crystal, glass, or mineral spheres)",Instantaneous,No,No,"Bard, Druid, Warlock, Wizard",INT save half. 4d6 psychic. On fail INT and CHA = 1; can't cast/understand language. Save every 30 days. End: greater restoration/heal/wish/remove curse.,Basic
Glibness,8,Transmutation,1 action,Self,V,1 hour,No,No,"Bard, Warlock",Replace CHA check d20 with 15. Magic detecting lies report truth.,Basic
Holy Aura,8,Abjuration,1 action,Self,V S M (tiny reliquary worth 1000gp),Concentration up to 1 minute,Yes,No,Cleric,30ft radius. Friendly creatures: advantage on saves; attackers fiend/undead and hit it CON save or blinded.,Basic
Incendiary Cloud,8,Conjuration,1 action,150 feet,V S,Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard",20ft radius cloud. DEX save half 10d8 fire on entry/start of turn. Heavily obscured. Moves 10ft per turn.,Basic
Maze,8,Conjuration,1 action,60 feet,V S,Concentration up to 10 minutes,Yes,No,Wizard,Banish creature to demiplane labyrinth. Action: INT check DC 20 to escape. Returns at end of duration.,Basic
Mind Blank,8,Abjuration,1 action,Touch,V S,24 hours,No,No,"Bard, Wizard",Immune to psychic damage; immune to thought-reading; immune to charm; immune to wish-effects.,Basic
Power Word Stun,8,Enchantment,1 action,60 feet,V,Instantaneous,No,No,"Bard, Sorcerer, Warlock, Wizard",Target with HP ≤150: stunned. Save end of each turn.,Basic
Sunburst,8,Evocation,1 action,150 feet,V S M (fire and a piece of sunstone),Instantaneous,No,No,"Druid, Sorcerer, Wizard",60ft radius. CON save half. 12d6 radiant + blinded 1 minute.,Basic
Telepathy,8,Evocation,1 action,Unlimited,V S M (a pair of linked silver rings),24 hours,No,No,Wizard,Telepathic communication with willing known creature on same plane.,Basic
Astral Projection,9,Necromancy,1 hour,10 feet,V S M (jacinth 1000 gp + ornately carved bar of silver 100 gp - consumed for each willing creature),Special,No,No,"Cleric, Warlock, Wizard",Up to 8 creatures Astral plane projection. Bodies in stasis. Severing silver cord = lost forever.,Basic
Foresight,9,Divination,1 minute,Touch,V S M (a hummingbird feather),8 hours,No,No,"Bard, Druid, Warlock, Wizard",Touched creature: advantage on attacks/saves/checks; attackers disadvantage on attacks vs them.,Basic
Gate,9,Conjuration,1 action,60 feet,V S M (diamond 5000gp),Concentration up to 1 minute,Yes,No,"Cleric, Sorcerer, Wizard",20ft circular portal to another plane. Specify named being to summon (CHA save).,Basic
Imprisonment,9,Abjuration,1 minute,30 feet,V S M (vellum depiction or carved statue of victim + special component varying by version 500gp/HD),Until dispelled,No,No,"Warlock, Wizard",Bind creature: Burial/Chaining/Hedged Prison/Minimus Containment/Slumber. WIS save resists.,Basic
Mass Heal,9,Evocation,1 action,60 feet,V S,Instantaneous,No,No,Cleric,Restore 700 HP divided among any creatures within 60ft. Cures blindness/deafness/disease.,Basic
Meteor Swarm,9,Evocation,1 action,1 mile,V S,Instantaneous,No,No,"Sorcerer, Wizard",4 meteors at chosen 40ft radius spheres. DEX save half. 20d6 fire + 20d6 bludgeoning each.,Basic
Power Word Heal,9,Evocation,1 action,Touch,V S,Instantaneous,No,No,Bard,Touched creature regains all HP; ends charmed/frightened/paralyzed/stunned; up if prone.,Basic
Power Word Kill,9,Enchantment,1 action,60 feet,V,Instantaneous,No,No,"Bard, Sorcerer, Warlock, Wizard",Target with HP ≤100 dies. No save.,Basic
Prismatic Wall,9,Abjuration,1 action,60 feet,V S,10 minutes,No,No,"Bard, Wizard",90ft long × 30ft high or 30ft radius sphere. 7 layers (each 10 HP). Each color different effect: red/orange/yellow/green/blue/indigo/violet. Pass through: damage/condition by layer.,Basic
Shapechange,9,Transmutation,1 action,Self,V S M (jade circlet 1500gp),Concentration up to 1 hour,Yes,No,"Druid, Wizard",Become creature CR ≤ your level. New stats. Repeat as action to change form.,Basic
Storm of Vengeance,9,Conjuration,1 action,Sight,V S,Concentration up to 1 minute,Yes,No,Druid,360ft radius storm. Round 1: thunder (CON save). Round 2: acid rain. Round 3: 6 lightning bolts (DEX). Round 4: 6 hailstones (CON). Rounds 5-10: cold rain (CON or 1d6 cold).,Basic
Time Stop,9,Transmutation,1 action,Self,V,Instantaneous,No,No,"Sorcerer, Wizard",1d4+1 turns of free action. Ends if you affect creature other than self/objects worn or carried by other creatures.,Basic
True Polymorph,9,Transmutation,1 action,30 feet,"V S M (a drop of mercury, a dollop of gum arabic, and a wisp of smoke)",Concentration up to 1 hour,Yes,No,"Bard, Warlock, Wizard",Object↔creature/creature↔creature/object↔object. Lasts duration. After full duration: permanent.,Basic
True Resurrection,9,Necromancy,1 hour,Touch,V S M (a sprinkle of holy water and diamonds 25000gp - consumed),Instantaneous,No,No,"Cleric, Druid",Restore creature dead ≤200 years (any cause). Full HP. New body if needed.,Basic
Weird,9,Illusion,1 action,120 feet,V S,Concentration up to 1 minute,Yes,No,Wizard,Each creature in 30ft radius WIS save or frightened + 4d10 psychic each turn. Save end of each turn.,Basic
Wish,9,Conjuration,1 action,Self,V,Instantaneous,No,No,"Sorcerer, Wizard",Mightiest spell. Duplicate any spell ≤8th OR variant effects (heal 20 creatures/grant +10 AC&saves/recreate magic item/undo turn/etc). Stress: 33% chance never cast wish again; STR 3; -1d10 HP per slot expended; need long rests; -1 AC.,Basic
